"","outcome","exposure","method","b","se","pval","or","cil","ciu"
"1","HNC","HMGCR","ivw",0.0529454257638833,0.370173384420774,0.886267498218993,1.05437210199714,0.510382717766165,2.17817040188102
"2","HNC","HMGCR","egger",0.525418957729621,1.34353609555793,0.695744231293412,1.69116722756033,0.121491401340751,23.5411441469214
"3","HNC","HMGCR","median",0.179738771789886,0.33149409003182,0.587675174464289,1.19690465701853,0.6250087404194,2.29209715856348
"4","HNC","NPC1L1","ivw",-0.00684631089246214,0.594825145425548,0.990816721191308,0.993177071702022,0.309528967748667,3.1867799092573
"5","HNC","NPC1L1","egger",-1.53962203466989,6.26199897515833,0.805784802718294,0.214462145365683,1.00237334391649e-06,45885.1106466405
"6","HNC","NPC1L1","median",-0.105881178972451,0.583441542431044,0.855993241003576,0.899531524986298,0.286669125206623,2.8226163660316
"7","HNC","PCSK9","ivw",0.708580237861641,0.275051747878721,0.00999013301163252,2.03110552388119,1.18468724563676,3.48226054119737
"8","HNC","PCSK9","egger",0.513529299913293,1.13736388287778,0.651623202113583,1.67117889062634,0.179837086930252,15.5298272016508
"9","HNC","PCSK9","median",0.793447659505778,0.318418266156578,0.0127082947995936,2.21100609712937,1.18453211604706,4.12698642385232
"10","HNC","LDLR","ivw",-0.369634273645339,0.216339962203445,0.0875286551258236,0.69098699658662,0.452186488273312,1.05589848842013
"11","HNC","LDLR","egger",-0.0517720530187029,0.371816108917799,0.889259697566103,0.9495452881577,0.458162375290378,1.96794041346377
"12","HNC","LDLR","median",-0.341685251362612,0.216195801126561,0.114005333392289,0.710571821028301,0.465134335498804,1.08551933130891
"13","HNC","CETP","ivw",0.320122276158674,0.494252391442063,0.51718554568512,1.37729616452444,0.522770664509767,3.6286365199788
"14","HNC","CETP","egger",0.299421074706546,1.86614066119934,0.872527109602208,1.34907756633168,0.0347973299317601,52.303158993767
"15","HNC","CETP","median",0.213348822086771,0.427137736844525,0.617437867499759,1.23781635362907,0.535882079992705,2.85919119619083
